date,avg_sentiment_score,open,close,high,low,volume,code
2017-08-16,-0.125,3701.13,3701.42,3707.14,3679.73,104134141,hs300
2017-08-17,0.42857142857142855,3707.07,3721.28,3722.62,3704.41,108656251,hs300
2017-08-18,0.14285714285714285,3707.19,3724.67,3733.49,3700.41,96561705,hs300
2017-08-21,0.5,3731.84,3740.99,3744.26,3728.62,100313073,hs300
2017-08-22,0.0,3745.75,3752.3,3758.29,3734.56,100292856,hs300
2017-08-23,-0.4375,3747.61,3756.09,3772.46,3741.72,104961573,hs300
2017-08-24,0.5,3755.89,3734.65,3765.71,3729.09,89947372,hs300
2017-08-25,-0.6666666666666666,3736.29,3795.75,3795.97,3736.29,129940900,hs300
2017-08-28,0.08333333333333333,3805.66,3842.71,3866.94,3805.66,185576325,hs300
2017-08-29,0.6,3839.18,3834.54,3847.93,3825.76,128227070,hs300
2017-08-30,-0.5384615384615384,3834.27,3834.3,3854.71,3827.86,141352857,hs300
2017-08-31,-0.25,3835.84,3822.09,3840.2,3800.89,132944935,hs300
2017-09-01,-0.5,3825.34,3830.54,3843.62,3818.16,158645511,hs300
2017-09-04,0.0,3828.54,3845.62,3847.09,3813.55,149566320,hs300
2017-09-05,0.25,3845.55,3857.05,3865.29,3841.95,124964155,hs300
2017-09-06,0.0,3846.75,3849.45,3858.25,3831.38,131398723,hs300
2017-09-07,0.0,3851.69,3829.87,3858.16,3828.83,123884181,hs300
2017-09-08,0.6,3830.07,3825.99,3843.02,3813.98,106036504,hs300
2017-09-11,0.4166666666666667,3828.34,3825.65,3850.74,3817.51,123883997,hs300
2017-09-12,0.6,3832.24,3837.93,3849.39,3822.0,144190242,hs300
2017-09-13,-0.1111111111111111,3835.55,3842.61,3847.78,3822.94,95410785,hs300
2017-09-14,0.0,3843.57,3829.96,3854.49,3820.09,115358583,hs300
2017-09-15,0.0,3826.14,3831.3,3843.3,3818.52,122427006,hs300
2017-09-18,0.5714285714285714,3832.96,3843.14,3862.36,3832.96,117934405,hs300
2017-09-19,0.7,3849.88,3832.12,3857.3,3820.29,112432987,hs300
2017-09-20,0.14285714285714285,3830.15,3842.44,3850.94,3827.89,101129542,hs300
2017-09-21,0.16666666666666666,3843.26,3837.82,3860.8,3837.38,111098192,hs300
2017-09-22,1.25,3826.46,3837.73,3842.25,3816.82,100619802,hs300
2017-09-25,0.0,3829.22,3817.79,3835.39,3811.12,103948976,hs300
2017-09-26,-0.7272727272727273,3810.33,3820.78,3821.69,3808.38,81869407,hs300
2017-09-27,0.5,3818.96,3821.2,3832.57,3818.81,85655811,hs300
2017-09-28,0.2727272727272727,3821.59,3822.54,3827.33,3813.75,93544069,hs300
2017-09-29,0.5,3825.2,3836.5,3852.22,3825.2,93306028,hs300
2017-10-09,-0.5,3910.11,3882.21,3918.84,3876.03,135535851,hs300
2017-10-10,0.0,3883.0,3889.86,3900.74,3855.47,112532586,hs300
2017-10-11,0.625,3886.82,3902.69,3913.07,3885.5,104418151,hs300
2017-10-12,0.6470588235294118,3902.02,3912.95,3917.44,3897.55,94340921,hs300
2017-10-13,-0.125,3912.98,3921.0,3927.17,3908.89,90142068,hs300
2017-10-16,-0.1,3926.28,3913.45,3947.42,3913.32,121355033,hs300
2017-10-17,-0.25,3910.79,3913.07,3924.61,3900.48,82241227,hs300
2017-10-18,0.9,3914.82,3944.16,3944.41,3914.82,100969841,hs300
2017-10-19,0.35714285714285715,3940.58,3931.25,3944.03,3923.65,106527252,hs300
2017-10-20,-0.125,3918.53,3926.85,3928.96,3910.2,72980180,hs300
2017-10-23,0.0,3930.89,3930.8,3936.27,3920.66,81484980,hs300
2017-10-24,0.0,3926.23,3959.4,3959.5,3922.03,93058154,hs300
2017-10-25,0.1,3958.17,3976.95,3978.09,3954.0,88205458,hs300
2017-10-26,0.375,3980.05,3993.58,4013.6,3973.55,129895465,hs300
2017-10-27,1.0,3992.55,4021.97,4024.46,3991.35,126672846,hs300
2017-10-30,0.6,4022.16,4009.72,4033.34,3960.27,157387603,hs300
2017-10-31,-0.6,3995.39,4006.72,4009.28,3983.26,109178779,hs300
2017-11-01,-0.125,4007.91,3996.62,4032.46,3991.32,130417380,hs300
2017-11-02,0.2,3994.09,3997.13,3999.23,3971.38,126100579,hs300
2017-11-03,-0.4,3992.35,3992.7,3999.34,3963.03,129404439,hs300
2017-11-06,1.0,3989.18,4020.89,4021.64,3975.41,122081159,hs300
2017-11-07,0.2,4022.4,4054.25,4064.22,4021.36,152116663,hs300
2017-11-08,0.6666666666666666,4051.49,4048.01,4089.15,4040.58,150827719,hs300
2017-11-09,0.0,4043.07,4075.9,4076.61,4038.4,121056335,hs300
2017-11-10,0.8333333333333334,4070.28,4111.91,4116.71,4067.66,141817165,hs300
2017-11-13,0.0,4115.55,4128.07,4137.65,4115.55,151446309,hs300
2017-11-14,0.14285714285714285,4129.27,4099.35,4133.55,4086.89,143236936,hs300
2017-11-15,1.0769230769230769,4084.21,4073.67,4102.81,4055.72,120635696,hs300
